Year,Employed,Unemployed,Rates
2010,,195,5.2
2011,,155,4.1
2012,,144,3.6
2013,,149,3.6
2014,,120,2.7
2015,,115,2.6
2017,,120,2.5
2018,,113,2.1
2019,,107,2.0
2020,5603,199,3.4
2021,5688,124,2.1
2022,6171,118,1.9
2023,6502,138,2.1
2024,6386,187,2.8
2025,7129,221,3.1 
