Company,Laid Off,Date
Malwarebytes,125,8/17/2022
Fluke,83,8/17/2022
Swyftx,74,8/17/2022
Tempo Automation,54,8/17/2022
Genesis,52,8/17/2022
Warren,50,8/17/2022
AlayaCare,80,8/16/2022
Pliops,12,8/16/2022
Woven,5,8/16/2022
Sema4,250,8/15/2022
Blend,220,8/15/2022
ContraFect,16,8/15/2022
Anywell,11,8/14/2022
Peloton,784,8/12/2022
Truepill,175,8/11/2022
Calm,90,8/11/2022
FourKites,60,8/11/2022
Marketforce,54,8/11/2022
Betterfly,30,8/11/2022
Expert360,7,8/11/2022
Trybe,47,8/10/2022
Permutive,30,8/10/2022
GoHealth,800,8/9/2022
Hootsuite,400,8/9/2022
Nutanix,270,8/9/2022
Quanterix,130,8/9/2022
Wix,100,8/9/2022
MadeiraMadeira,60,8/9/2022
Melio,60,8/9/2022
Linktree,50,8/9/2022
Shogun,48,8/9/2022
Absci,40,8/9/2022
Dooly,12,8/9/2022
Groupon,500,8/8/2022
Loggi,500,8/8/2022
Vroom,337,8/8/2022
Warby Parker,63,8/8/2022
Labelbox,36,8/8/2022
Perion,20,8/8/2022
iRobot,140,8/5/2022
Mejuri,50,8/5/2022
Uberflip,31,8/5/2022
Doma,250,8/4/2022
Article,216,8/4/2022
Jam City,200,8/4/2022
10X Genomics,100,8/4/2022
LEAD,80,8/4/2022
Zendesk,80,8/4/2022
On Deck,73,8/4/2022
RenoRun,70,8/4/2022
RingCentral,50,8/4/2022
Healthcare.com,149,8/3/2022
Unbounce,47,8/3/2022
Beyond Meat,40,8/3/2022
The Org,13,8/3/2022
Robinhood,713,8/2/2022
Latch,115,8/2/2022
Vedantu,100,8/2/2022
Seegrid,90,8/2/2022
Nylas,80,8/2/2022
Outreach,60,8/2/2022
Sendy,54,8/2/2022
The Predictive Index,40,8/2/2022
Sendy,30,8/2/2022
Stedi,23,8/2/2022
Glossier,19,8/2/2022
Hash,58,8/1/2022
Metigy,75,7/31/2022
Vee,16,7/31/2022
Ola,1000,7/29/2022
Clearco,125,7/29/2022
Imperfect Foods,50,7/29/2022
Shelf Engine,43,7/29/2022
Quantcast,40,7/29/2022
Sherpa,22,7/29/2022
Ribbon,136,7/28/2022
Career Karma,60,7/28/2022
Metromile,60,7/28/2022
Laybuy,45,7/28/2022
Allbirds,23,7/28/2022
TextNow,22,7/28/2022
Rivian,840,7/27/2022
Vox Media,39,7/27/2022
Coinsquare,30,7/27/2022
Skai,30,7/27/2022
Shopify,1000,7/26/2022
McMakler,90,7/26/2022
Fiverr,60,7/26/2022
InDebted,40,7/26/2022
Outbrain,38,7/26/2022
Dover,23,7/26/2022
Immutable,20,7/26/2022
Zymergen,80,7/25/2022
Pear Therapeutics ,25,7/25/2022
Soluto,120,7/24/2022
Eucalyptus,50,7/22/2022
Workstream,45,7/22/2022
Quanto,28,7/22/2022
Clarify Health,15,7/22/2022
Blockchain.com,150,7/21/2022
Callisto Media,140,7/21/2022
AppGate,130,7/21/2022
WHOOP,95,7/21/2022
Rad Power Bikes,63,7/21/2022
Lunchbox,60,7/21/2022
RealSelf,11,7/21/2022
Just Eat Takeaway,390,7/20/2022
Flyhomes,200,7/20/2022
Varo,75,7/20/2022
BlueStacks,60,7/20/2022
Lyft,60,7/20/2022
Introhive,57,7/20/2022
Zencity,30,7/20/2022
Splice,23,7/20/2022
Forma.ai,15,7/20/2022
Arc,13,7/20/2022
Invitae,1000,7/19/2022
Olive,450,7/19/2022
M1,38,7/19/2022
SellerX,28,7/19/2022
Stint,28,7/19/2022
PACT Pharma,94,7/18/2022
Gemini,68,7/18/2022
Lusha,30,7/18/2022
Bright Money,100,7/15/2022
Project44,63,7/15/2022
Heroes,24,7/15/2022
Aspire,23,7/15/2022
Zego,85,7/14/2022
The Mom Project,54,7/14/2022
Unstoppable Domains,42,7/14/2022
Kiavi,39,7/14/2022
Wave,300,7/13/2022
Tonal,262,7/13/2022
Fabric,120,7/13/2022
Bryter,100,7/13/2022
ChowNow,100,7/13/2022
Involves,70,7/13/2022
100 Thieves,12,7/13/2022
Nuro,7,7/13/2022
Gopuff,1500,7/12/2022
Fraazo,150,7/12/2022
Babylon,100,7/12/2022
Hubilo,45,7/12/2022
Hopin,242,7/11/2022
Alice,63,7/11/2022
SundaySky,24,7/11/2022
PuduTech,1500,7/8/2022
Butler Hospitality,1000,7/8/2022
Calibrate,156,7/8/2022
Argo AI,150,7/7/2022
Next Insurance,150,7/7/2022
Adwerx,40,7/7/2022
Emotive,30,7/7/2022
Remote,100,7/6/2022
Shopify,50,7/6/2022
Anodot,35,7/6/2022
SQream,30,7/6/2022
Anodot,15,7/6/2022
Loft,384,7/5/2022
Bizzabo,120,7/5/2022
eToro,100,7/5/2022
Verbit,80,7/5/2022
Outschool,31,7/5/2022
Bullish,30,7/5/2022
Transmit Security,27,7/5/2022
Thimble,20,7/5/2022
Syte,13,7/5/2022
Lightricks,80,7/4/2022
Chessable,29,7/4/2022
Sendle,27,7/4/2022
Lendis,18,7/4/2022
Gorillas,540,7/3/2022
Celsius,150,7/3/2022
WanderJaunt,85,7/1/2022
Canoo,58,7/1/2022
Bamboo Health,52,7/1/2022
Teleport,15,7/1/2022
Enjoy,400,6/30/2022
Crejo.Fun,170,6/30/2022
Stash Financial,40,6/30/2022
Nate,30,6/30/2022
Snyk,30,6/30/2022
Stream,20,6/30/2022
Finleap Connect,14,6/30/2022
Abra,12,6/30/2022
Toppr,350,6/29/2022
Unity,200,6/29/2022
Niantic,85,6/29/2022
AvantStay,80,6/29/2022
Qumulo,80,6/29/2022
Clutch,76,6/29/2022
Parallel Wireless,60,6/29/2022
Oye Rickshaw,40,6/29/2022
Rows,18,6/29/2022
Baton,16,6/29/2022
Substack,13,6/29/2022
Huobi,300,6/28/2022
WhiteHat Jr,300,6/28/2022
StockX,120,6/28/2022
Sidecar Health,110,6/28/2022
StockX,80,6/28/2022
Vezeeta,50,6/28/2022
Bright Machines,30,6/28/2022
HealthMatch,18,6/28/2022
AppLovin,300,6/27/2022
UiPath,210,6/27/2022
Udaan,180,6/27/2022
Cue,170,6/27/2022
Banxa,70,6/27/2022
SafeGraph,27,6/27/2022
Postscript,43,6/26/2022
Bitpanda,270,6/24/2022
Sunday,90,6/24/2022
Bestow,41,6/24/2022
Ethos Life,40,6/24/2022
Netflix,300,6/23/2022
Aura,70,6/23/2022
Pipl,22,6/23/2022
Vouch,15,6/23/2022
Voyage SMS,8,6/23/2022
MasterClass,120,6/22/2022
IronNet,90,6/22/2022
Bungalow,70,6/22/2022
IronNet,55,6/22/2022
Sprinklr,50,6/22/2022
Superpedestrian,35,6/22/2022
Voi,35,6/22/2022
Balto,30,6/22/2022
Ritual,23,6/22/2022
Ebanx,340,6/21/2022
TaskUs,52,6/21/2022
Community,40,6/21/2022
Sourcegraph,24,6/21/2022
Bybit,600,6/20/2022
SummerBio,101,6/20/2022
Trax,100,6/20/2022
Aqgromalin,80,6/20/2022
Bonsai,30,6/20/2022
Brighte,30,6/20/2022
CityMall,191,6/19/2022
BitOasis,9,6/19/2022
Unacademy,150,6/18/2022
Bytedance,150,6/17/2022
Socure,69,6/17/2022
Finite State,16,6/17/2022
JOKR,50,6/16/2022
Zumper,45,6/16/2022
PharmEasy,40,6/16/2022
Swappie,250,6/15/2022
Wealthsimple,159,6/15/2022
Weee!,150,6/15/2022
Notarize,110,6/15/2022
Elementor,60,6/15/2022
Tonkean,23,6/15/2022
Airtame,15,6/15/2022
OpenWeb,14,6/15/2022
Swyft,10,6/15/2022
Coinbase,1100,6/14/2022
Redfin,470,6/14/2022
Compass,450,6/14/2022
Sami,75,6/14/2022
Breathe,50,6/14/2022
Hunty,30,6/14/2022
TIFIN,24,6/14/2022
BlockFi,250,6/13/2022
Wave Sports and Entertainment,56,6/13/2022
Studio,33,6/13/2022
Crypto.com,260,6/10/2022
FarEye,250,6/10/2022
Berlin Brands Group,100,6/10/2022
Sanar,60,6/10/2022
Freetrade,45,6/10/2022
Albert,20,6/10/2022
OneTrust,950,6/9/2022
Stitch Fix,330,6/9/2022
Daniel Wellington,200,6/9/2022
Convoy,90,6/9/2022
Hologram,80,6/9/2022
Boozt,70,6/9/2022
The Grommet,40,6/9/2022
Stashaway,31,6/9/2022
Preply,26,6/9/2022
Sonder,250,6/8/2022
Kavak,150,6/8/2022
Truepill,150,6/8/2022
iPrice Group,50,6/8/2022
Cazoo,750,6/7/2022
Cazoo,750,6/7/2022
Rupeek,180,6/7/2022
Lummo,150,6/7/2022
Bird,138,6/7/2022
ID.me,130,6/7/2022
KiwiCo,40,6/7/2022
Clearco,60,6/6/2022
Dutchie,50,6/6/2022
Eruditus,40,6/4/2022
Afterverse,60,6/3/2022
Superhuman,23,6/3/2022
Food52,21,6/3/2022
Carbon Health,250,6/2/2022
Favo,170,6/2/2022
PolicyGenius,170,6/2/2022
Yojak,140,6/2/2022
Envato,100,6/2/2022
Gemini,100,6/2/2022
Stord,59,6/2/2022
Gather,30,6/2/2022
Shef,29,6/2/2022
IRL,25,6/2/2022
TomTom,500,6/1/2022
Cybereason,100,6/1/2022
Udayy,100,6/1/2022
2TM,90,6/1/2022
Curve,65,6/1/2022
Loom,34,6/1/2022
Skillshare,31,6/1/2022
Impala,30,6/1/2022
Eaze,25,6/1/2022
Playtika,250,5/31/2022
Replicated,50,5/31/2022
Tomo,44,5/31/2022
Getta,30,5/31/2022
BookClub,12,5/31/2022
SWVL,400,5/30/2022
Mobile Premier League,100,5/30/2022
SumUp,100,5/30/2022
FrontRow,145,5/27/2022
Daloopa,40,5/27/2022
Uncapped,29,5/27/2022
VTEX,200,5/26/2022
Bitso,80,5/26/2022
Foodpanda,80,5/26/2022
Dazn,50,5/26/2022
Lacework,300,5/25/2022
Bolt,240,5/25/2022
PeerStreet,75,5/25/2022
Kontist,50,5/25/2022
Nuri,45,5/25/2022
Coterie Insurance,30,5/25/2022
Gorillas,300,5/24/2022
Zenius,200,5/24/2022
The Zebra,40,5/24/2022
Klarna,700,5/23/2022
PayPal,83,5/23/2022
Buenbit,80,5/23/2022
BeyondMinds,65,5/23/2022
ClickUp,60,5/23/2022
Airtime,30,5/23/2022
MFine,600,5/21/2022
Latch,130,5/20/2022
Outside,87,5/20/2022
Skillz,70,5/20/2022
Cars24,600,5/19/2022
Vedantu,424,5/18/2022
Netflix,150,5/17/2022
Kry,100,5/17/2022
Picsart,90,5/17/2022
Zak,100,5/16/2022
AliExpress Russia,400,5/14/2022
Thirty Madison,24,5/14/2022
CommonBond,22,5/13/2022
Zwift,150,5/12/2022
Section4,32,5/12/2022
DataRobot,70,5/11/2022
Carvana,2500,5/10/2022
Doma,310,5/10/2022
Pollen,200,5/10/2022
Latch,30,5/10/2022
Meero,350,5/9/2022
Vroom,270,5/9/2022
Reef,750,5/6/2022
divvyDOSE,62,5/6/2022
Vedantu,200,5/5/2022
Progrexion,100,5/5/2022
Mural,90,5/5/2022
On Deck,72,5/5/2022
SEND,300,5/4/2022
Colossus,97,5/4/2022
Cameo,87,5/4/2022
Mainstreet,45,5/4/2022
Ideoclick,40,5/4/2022
Vise,25,5/4/2022
Avo,500,5/1/2022
Noom,495,4/29/2022
Domestika,150,4/28/2022
Netflix,25,4/28/2022
Wahoo Fitness,50,4/27/2022
Robinhood,340,4/26/2022
Bonsai,29,4/26/2022
Sigfox,64,4/25/2022
Clyde,22,4/25/2022
Xiaohongshu,180,4/21/2022
Facily,260,4/20/2022
Lemonade,52,4/20/2022
Blend,200,4/19/2022
QuintoAndar,160,4/19/2022
Loft,159,4/19/2022
Humble,10,4/15/2022
Ahead,44,4/14/2022
Rad Power Bikes,100,4/12/2022
Meesho,150,4/11/2022
Food52,20,4/8/2022
Unacademy,1000,4/7/2022
Goodfood,70,4/7/2022
Workrise,450,4/5/2022
BitMEX,75,4/4/2022
Legible,23,4/4/2022
Lightico,20,3/31/2022
Sea,350,3/30/2022
Rasa,59,3/30/2022
Gopuff,450,3/29/2022
Thinkific,100,3/29/2022
Furlenco,180,3/26/2022
Storytel,100,3/17/2022
Curology,150,3/16/2022
Trell,300,3/15/2022
Knock,115,3/15/2022
Better.com,3000,3/8/2022
Adaptive Biotechnologies,100,3/8/2022
Hyperscience,100,3/3/2022
WeDoctor,500,3/2/2022
Wish,190,3/1/2022
OKCredit,30,2/24/2022
Lido,150,2/21/2022
Virgin Hyperloop,111,2/21/2022
Trustly,120,2/17/2022
Liv Up,100,2/16/2022
Homie,119,2/14/2022
Hopin,138,2/10/2022
Daily Harvest,60,2/10/2022
Peloton,2800,2/8/2022
Rhino,57,2/3/2022
Gopuff,100,1/26/2022
Glossier,80,1/26/2022
Root Insurance,330,1/20/2022
Delivery Hero,300,12/22/2021
Better.com,900,12/1/2021
BitTitan,70,11/18/2021
Zillow,2000,11/2/2021
InVision,22,10/5/2021
Zymergen,120,9/23/2021
Treehouse,41,9/14/2021
Tanium,30,8/30/2021
Flockjay,37,8/24/2021
Bytedance,1800,8/5/2021
Pagarbook,80,7/26/2021
Katerra,2434,6/1/2021
Lambda School,65,4/29/2021
Patreon,36,4/26/2021
New Relic,160,4/6/2021
HuffPo,47,3/9/2021
Ninjacart,200,2/23/2021
Bounce,200,2/22/2021
ThredUp,243,2/9/2021
Indigo,80,2/9/2021
Limelight,13,2/4/2021
Quandoo,87,2/3/2021
Hubba,45,2/1/2021
Bytedance,1800,1/27/2021
Privitar,20,1/27/2021
Shutterfly,800,1/25/2021
Postmates,180,1/23/2021
Instacart,1877,1/21/2021
Pocketmath,21,1/20/2021
Dropbox,315,1/13/2021
WhiteHat Jr,1800,1/6/2021
Pulse Secure,78,12/23/2020
Breather,120,12/16/2020
Actifio,54,12/16/2020
OYO,600,12/8/2020
Aya,5,11/19/2020
Bridge Connector,154,11/17/2020
Tidepool,18,11/17/2020
Worksmith,30,11/9/2020
LivePerson,30,11/1/2020
Remedy,82,10/29/2020
Knotel,20,10/29/2020
CodeCombat,8,10/23/2020
GetYourGuide,90,10/14/2020
OLX India,250,10/10/2020
Alto Pharmacy,47,9/29/2020
NS8,240,9/11/2020
Bleacher Report,20,9/11/2020
Waze,30,9/9/2020
Big Fish Games,250,9/1/2020
GoBear,22,9/1/2020
MakeMyTrip,350,8/31/2020
Salesforce,1000,8/26/2020
Superloop,30,8/24/2020
Docly,8,8/19/2020
Shopify,30,8/14/2020
Mozilla,250,8/11/2020
Eatsy,20,8/8/2020
Glossier,150,8/7/2020
Thriver,75,8/6/2020
Vesta,56,8/5/2020
Booking.com,4375,7/30/2020
Buy.com / Rakuten,87,7/30/2020
Procore,180,7/28/2020
Swiggy,350,7/27/2020
Zeitgold,75,7/27/2020
Checkr,64,7/23/2020
LinkedIn,960,7/21/2020
Lighter Capital,22,7/20/2020
Curefit,120,7/17/2020
Optimizely,60,7/15/2020
Skyscanner,300,7/14/2020
Yelp,63,7/13/2020
Bizongo,140,7/10/2020
Zilingo,100,7/9/2020
PaySense,40,7/9/2020
Funding Circle,85,7/8/2020
The Wing,56,7/1/2020
Sharethrough,18,7/1/2020
Kongregate,12,7/1/2020
Havenly,5,7/1/2020
G2,17,6/30/2020
Katerra,400,6/29/2020
Bounce,130,6/29/2020
Argo AI,100,6/29/2020
Bossa Nova,61,6/29/2020
New Relic,20,6/29/2020
GoDaddy,451,6/24/2020
Sonos,174,6/24/2020
Gojek,430,6/23/2020
ScaleFactor,90,6/23/2020
Dark,6,6/23/2020
Intuit,715,6/22/2020
WeWork,200,6/19/2020
Atlas Obscura ,15,6/18/2020
Navi,40,6/17/2020
PaisaBazaar,1500,6/16/2020
Grab,360,6/16/2020
Splunk,70,6/16/2020
Redox,44,6/16/2020
Uber,225,6/12/2020
SynapseFI,63,6/12/2020
ScaleFocus,120,6/11/2020
Branch,3,6/11/2020
Her Campus Media,10,6/10/2020
Integrate.ai,26,6/9/2020
The Athletic,46,6/5/2020
Ethos Life,18,6/5/2020
Lastline,50,6/4/2020
Builder,39,6/4/2020
Monzo,120,6/3/2020
Kitty Hawk,70,6/3/2020
SpotHero,40,6/3/2020
Credit Sesame,22,6/3/2020
Circ,100,6/2/2020
Rivian,40,6/2/2020
Fundbox,14,6/2/2020
Descartes Labs,12,6/2/2020
MakerBot,12,6/2/2020
Stitch Fix,1400,6/1/2020
MakeMyTrip,350,6/1/2020
CrowdStreet,24,6/1/2020
Brex,62,5/29/2020
Loftium,32,5/29/2020
BookMyShow,270,5/28/2020
TrueCar,219,5/28/2020
StubHub,200,5/28/2020
Culture Amp,36,5/28/2020
The Sill,20,5/28/2020
Instructure,150,5/27/2020
Ebanx,62,5/27/2020
Uber,600,5/26/2020
Bluprint,137,5/26/2020
Acorns,50,5/26/2020
CarDekho,200,5/25/2020
Teamwork,21,5/22/2020
Cvent,400,5/21/2020
PickYourTrail,70,5/21/2020
Glitch,18,5/21/2020
Ola,1400,5/20/2020
Samsara,300,5/20/2020
Stay Alfred,221,5/20/2020
SoFi,112,5/20/2020
ShareChat,101,5/20/2020
Intercom,39,5/20/2020
Livspace,450,5/19/2020
Pollen,69,5/19/2020
Dotscience,10,5/19/2020
Uber,3000,5/18/2020
Agoda,1500,5/18/2020
Swiggy,1100,5/18/2020
WeWork,100,5/18/2020
Rubrik,57,5/18/2020
Intapp,45,5/18/2020
Magicbricks,250,5/17/2020
Zomato,520,5/15/2020
Lendingkart,500,5/15/2020
Lattice,16,5/15/2020
Cruise,150,5/14/2020
Quartz,80,5/14/2020
Integral Ad Science,70,5/14/2020
Ridecell,35,5/14/2020
Veem,30,5/14/2020
Deliv,669,5/13/2020
Mercos,51,5/13/2020
Kickstarter,25,5/13/2020
Intersect,19,5/13/2020
Mode Analytics,17,5/13/2020
Stone,1300,5/12/2020
Zeus Living,73,5/12/2020
Mixpanel,65,5/12/2020
Hireology,36,5/12/2020
Top Hat,16,5/12/2020
Revolut,60,5/11/2020
Cadre,28,5/11/2020
N26,9,5/8/2020
Jump,500,5/7/2020
Glassdoor,300,5/7/2020
Numbrs,62,5/7/2020
Flywire,60,5/7/2020
SalesLoft,55,5/7/2020
Tally,28,5/7/2020
Uber,3700,5/6/2020
Validity,130,5/6/2020
Flatiron School,100,5/6/2020
Rubicon Project,50,5/6/2020
Segment,50,5/6/2020
Airbnb,1900,5/5/2020
Juul,900,5/5/2020
Andela,135,5/5/2020
Stack Overflow,40,5/5/2020
Pipedrive,31,5/5/2020
Workable,25,5/5/2020
Curefit,800,5/4/2020
Careem,536,5/4/2020
Oriente,400,5/4/2020
Veriff,63,5/4/2020
Element AI,62,5/4/2020
Deputy,60,5/4/2020
Loopio,11,5/4/2020
Trax,120,5/3/2020
LiveTiles,50,5/3/2020
OYO,150,5/1/2020
Namely,110,5/1/2020
Culture Trip,95,5/1/2020
Sandbox VR,80,5/1/2020
Virtudent,70,5/1/2020
Monese,35,5/1/2020
TheSkimm,26,5/1/2020
Bullhorn,100,4/30/2020
Care.com,81,4/30/2020
Lyft,982,4/29/2020
WeWork,300,4/29/2020
Kayak / OpenTable,160,4/29/2020
Kitopi,124,4/29/2020
Lime,80,4/29/2020
Transfix,24,4/29/2020
TripAdvisor,900,4/28/2020
Renmoney,391,4/28/2020
Deliveroo,367,4/28/2020
App Annie,80,4/28/2020
OpenX,35,4/28/2020
PayJoy,27,4/28/2020
Shipsi,20,4/28/2020
Automation Anywhere,260,4/27/2020
JetClosing,20,4/27/2020
OYO,500,4/25/2020
Stoqo,250,4/25/2020
Submittable,30,4/25/2020
Divergent 3D,57,4/24/2020
Ada Support,36,4/24/2020
UPshow,19,4/24/2020
Lighter Capital,18,4/24/2020
Horizn Studios,15,4/24/2020
Welkin Health,10,4/24/2020
Jiobit,6,4/24/2020
TutorMundi,4,4/24/2020
StockX,100,4/23/2020
Zenefits,87,4/23/2020
Sisense,80,4/23/2020
Oscar Health,70,4/23/2020
Simon Data,6,4/23/2020
Magic Leap,1000,4/22/2020
When I Work,55,4/22/2020
Ike,10,4/22/2020
Swiggy,800,4/21/2020
Paytm,500,4/21/2020
Lending Club,460,4/21/2020
Houzz,155,4/21/2020
Casper,78,4/21/2020
RealSelf,40,4/21/2020
Freshbooks,38,4/21/2020
Patreon,30,4/21/2020
Lambda School,19,4/21/2020
Politico / Protocol,13,4/21/2020
Bringg,10,4/21/2020
Klook,300,4/20/2020
ConsenSys,91,4/20/2020
GumGum,90,4/20/2020
Kueski,90,4/20/2020
Movidesk,33,4/20/2020
Zum,28,4/20/2020
Komodo Health,23,4/20/2020
Forward,10,4/20/2020
BlackBuck,200,4/17/2020
ContaAzul,140,4/17/2020
Greenhouse,120,4/17/2020
QuintoAndar,88,4/17/2020
Loft,47,4/17/2020
Zilingo,44,4/17/2020
Labster,40,4/17/2020
Sweetgreen,35,4/17/2020
People.ai,30,4/17/2020
Tor,13,4/17/2020
CarGurus,130,4/16/2020
Funding Societies,65,4/16/2020
CleverTap,60,4/16/2020
Opendoor,600,4/15/2020
GoPro,200,4/15/2020
Shop101,200,4/15/2020
Zume,200,4/15/2020
Carta,161,4/15/2020
Akulaku,100,4/15/2020
Parsable,40,4/15/2020
Kodiak Robotics,15,4/15/2020
Tulip Retail,14,4/15/2020
Trove Recommerce,13,4/15/2020
The RealReal,235,4/14/2020
TouchBistro,131,4/14/2020
Envoy,58,4/14/2020
VSCO,45,4/14/2020
Skillz,21,4/14/2020
DataStax,15,4/14/2020
Xerpa,10,4/14/2020
Groupon,2800,4/13/2020
Zoox,100,4/13/2020
Neon,70,4/13/2020
EasyPost,50,4/13/2020
Clearbanc,17,4/13/2020
Meow Wolf,201,4/10/2020
Frontdesk,35,4/10/2020
BeeTech,30,4/10/2020
Built In,28,4/10/2020
NuoDB,20,4/10/2020
Rhumbix,16,4/10/2020
Atsu,6,4/10/2020
Geekwire,5,4/10/2020
Yelp,1000,4/9/2020
Monzo,165,4/9/2020
OneTrust,150,4/9/2020
Omie,136,4/9/2020
Domo,90,4/9/2020
Matterport,90,4/9/2020
Clinc,40,4/9/2020
Mejuri,36,4/9/2020
Code42,25,4/9/2020
Lighthouse Labs,14,4/9/2020
LoopMe,8,4/9/2020
Eventbrite,500,4/8/2020
Meesho,200,4/8/2020
Scoop,92,4/8/2020
Unison,89,4/8/2020
Lever,86,4/8/2020
Unbabel,80,4/8/2020
Button,48,4/8/2020
Eden / Managed By Q,40,4/8/2020
Quantcast,30,4/8/2020
BVAccel,25,4/8/2020
VideoAmp,21,4/8/2020
Kenoby,18,4/8/2020
Connected,17,4/8/2020
GetNinjas,11,4/8/2020
Spyce,4,4/8/2020
Toast,1300,4/7/2020
ezCater,400,4/7/2020
Sage Therapeutics,340,4/7/2020
Redfin,236,4/7/2020
Branch Metrics,100,4/7/2020
Newfront Insurance,94,4/7/2020
Ibotta,87,4/7/2020
Virta Health,65,4/7/2020
Away,60,4/7/2020
MediaMath,53,4/7/2020
Group Nine Media,50,4/7/2020
Payfactors,46,4/7/2020
Nav,30,4/7/2020
Metromile,100,4/6/2020
Rock Content,100,4/6/2020
BounceX,77,4/6/2020
C6 Bank,60,4/6/2020
Wordstream,26,4/6/2020
Cogito,24,4/6/2020
BusBud,23,4/6/2020
Borrowell,15,4/6/2020
PerkSpot,10,4/6/2020
Astra,40,4/5/2020
Iflix,50,4/4/2020
Gympass,467,4/3/2020
Sojern,300,4/3/2020
MaxMilhas,167,4/3/2020
Minted,147,4/3/2020
Velodyne Lidar,140,4/3/2020
Zoox,120,4/3/2020
Traveloka,100,4/3/2020
Arrive Logistics,75,4/3/2020
Salsify,60,4/3/2020
Jetty,35,4/3/2020
D2iQ,34,4/3/2020
Bustle Digital Group,24,4/3/2020
Bustle Digital Group,19,4/3/2020
Opencare,18,4/3/2020
Anagram,17,4/3/2020
G/O Media Group,14,4/3/2020
DSCO,12,4/3/2020
Tripbam,10,4/3/2020
Avantage Entertainment,5,4/3/2020
MindBody,700,4/2/2020
Katerra,240,4/2/2020
Ritual,196,4/2/2020
ClassPass,154,4/2/2020
eGym,100,4/2/2020
Voi,100,4/2/2020
Industrious,90,4/2/2020
1stdibs,70,4/2/2020
ThirdLove,65,4/2/2020
Latch,60,4/2/2020
The Predictive Index,59,4/2/2020
Shuttl,40,4/2/2020
Jobcase,39,4/2/2020
Copper,35,4/2/2020
Dynamic Signal,35,4/2/2020
FiscalNote,30,4/2/2020
Sauce Labs,30,4/2/2020
Humu,26,4/2/2020
TripleLift,23,4/2/2020
Coding Dojo,7,4/2/2020
Instamojo,6,4/2/2020
Synergysuite,5,4/2/2020
Booksy,200,4/1/2020
Flymya,200,4/1/2020
PatientPop,100,4/1/2020
Showpad,52,4/1/2020
Highsnobiety,51,4/1/2020
Earnin,50,4/1/2020
Wonolo,46,4/1/2020
Acko,45,4/1/2020
Moovel,28,4/1/2020
Aqua Security,24,4/1/2020
Crayon,20,4/1/2020
Pana,18,4/1/2020
Sensibill,17,4/1/2020
Usermind,15,4/1/2020
Incredible Health,9,4/1/2020
KeepTruckin,349,3/31/2020
AdRoll,210,3/31/2020
Rover,194,3/31/2020
Turo,108,3/31/2020
uShip,65,3/31/2020
SkySlope,50,3/31/2020
Siteimprove,40,3/31/2020
AngelList,20,3/31/2020
Zenoti,17,3/31/2020
DialSource,5,3/31/2020
Thumbtack,250,3/30/2020
RigUp,120,3/30/2020
FabHotels,80,3/30/2020
Hibob,70,3/30/2020
PeerStreet,51,3/30/2020
Maven,31,3/30/2020
Blume Global,30,3/30/2020
Catalant,30,3/30/2020
Starship Technologies,30,3/30/2020
Loftsmart,25,3/30/2020
Caliva,20,3/30/2020
Iris Nova,9,3/30/2020
ZipRecruiter,400,3/29/2020
Amplero,17,3/29/2020
Polarr,10,3/29/2020
TravelTriangle,250,3/28/2020
WeWork,250,3/28/2020
OneWeb,451,3/27/2020
Bird,406,3/27/2020
HOOQ,250,3/27/2020
Everlane,227,3/27/2020
DataRobot,200,3/27/2020
Restaurant365,175,3/27/2020
Blueground,130,3/27/2020
Knotel,127,3/27/2020
Getaround,100,3/27/2020
Zipcar,100,3/27/2020
Mogo,78,3/27/2020
DISCO,75,3/27/2020
Raken,60,3/27/2020
Bench,47,3/27/2020
Loft,47,3/27/2020
Oh My Green,40,3/27/2020
Bevi,30,3/27/2020
Textio,30,3/27/2020
Opal,20,3/27/2020
ThirdLove,10,3/27/2020
B8ta,250,3/26/2020
Fareportal,200,3/26/2020
Puppet,50,3/26/2020
Ecobee,47,3/26/2020
Passport,44,3/26/2020
Peerspace,41,3/26/2020
GoSpotCheck,23,3/26/2020
Consider.co,13,3/26/2020
TripActions,300,3/25/2020
Lyric,100,3/25/2020
Rangle,78,3/25/2020
O'Reilly Media,75,3/25/2020
WanderJaunt,56,3/25/2020
OutboundEngine,52,3/25/2020
Wonderschool,50,3/25/2020
Overtime,30,3/25/2020
Jama,12,3/25/2020
Element Analytics,10,3/25/2020
Sonder,400,3/24/2020
Takl,130,3/24/2020
Foodsby,87,3/24/2020
Zeus Living,80,3/24/2020
TravelBank,20,3/24/2020
Compass,375,3/23/2020
Convene,150,3/23/2020
Leafly,91,3/23/2020
The Guild,38,3/23/2020
Drip,20,3/23/2020
GrayMeta,20,3/23/2020
Triplebyte,15,3/23/2020
Ladder Life,13,3/23/2020
Flywheel Sports,784,3/20/2020
Peek,45,3/20/2020
CTO.ai,30,3/20/2020
Yonder,18,3/20/2020
Bounce,120,3/19/2020
Ejento,84,3/19/2020
Remote Year,50,3/19/2020
Lola,34,3/19/2020
Flytedesk,4,3/18/2020
Inspirato,130,3/16/2020
Help.com,16,3/16/2020
HopSkipDrive,8,3/13/2020
Panda Squad,6,3/13/2020
Tamara Mellon,20,3/12/2020
EasyPost,75,3/11/2020
